Date,Confirmed,Recovered,Dead
2020-01-22,1,0,0
2020-01-23,1,0,0
2020-01-24,2,0,0
2020-01-25,2,0,0
2020-01-26,5,0,0
2020-01-27,5,0,0
2020-01-28,5,0,0
2020-01-29,6,0,0
2020-01-30,6,0,0
2020-01-31,8,0,0
2020-02-01,8,0,0
2020-02-02,8,0,0
2020-02-03,11,0,0
2020-02-04,11,0,0
2020-02-05,11,0,0
2020-02-06,12,0,0
2020-02-07,12,0,0
2020-02-08,12,0,0
2020-02-09,12,3,0
2020-02-10,12,3,0
2020-02-11,13,3,0
2020-02-12,13,3,0
2020-02-13,14,3,0
2020-02-14,14,3,0
2020-02-15,14,3,0
2020-02-16,14,3,0
2020-02-17,14,3,0
2020-02-18,14,3,0
2020-02-19,14,3,0
2020-02-20,14,3,0
2020-02-21,16,5,0
2020-02-22,16,5,0
2020-02-23,16,5,0
2020-02-24,16,5,0
2020-02-25,16,6,0
2020-02-26,16,6,0
2020-02-27,17,6,0
2020-02-28,17,7,0
2020-02-29,25,7,1
2020-03-01,32,7,1
2020-03-02,54,7,6
2020-03-03,74,7,7
2020-03-04,107,7,11
2020-03-05,184,7,12
2020-03-06,237,7,14
2020-03-07,403,7,17
2020-03-08,519,7,21
2020-03-09,589,7,22
2020-03-10,782,8,28
2020-03-11,1145,8,33
2020-03-12,1584,12,43
2020-03-13,2214,12,51
2020-03-14,2971,12,58
2020-03-15,3211,12,70
2020-03-16,4679,17,97
2020-03-17,6513,17,132
2020-03-18,9153,105,191
2020-03-19,13643,121,265
2020-03-20,20007,147,364
2020-03-21,25991,176,463
2020-03-22,34804,178,573
2020-03-23,45973,178,762
2020-03-24,56571,348,1001
2020-03-25,68583,361,1325
2020-03-26,86495,681,1733
2020-03-27,105103,869,2253
2020-03-28,124701,1072,2886
2020-03-29,143672,2665,3472
2020-03-30,165615,5644,4164
2020-03-31,192048,7024,5249
2020-04-01,217730,8474,6421
2020-04-02,248186,9001,7924
2020-04-03,280173,9707,9316
2020-04-04,313154,14652,10839
2020-04-05,341245,17448,12429
2020-04-06,371481,19581,14199
2020-04-07,402917,21763,16770
2020-04-08,434886,23559,18916
2020-04-09,469478,25410,21144
2020-04-10,503006,28790,23362
2020-04-11,532447,31270,25481
2020-04-12,559318,32988,27294
2020-04-13,585240,43482,29240
2020-04-14,613887,47763,31695
2020-04-15,643833,52096,34304
2020-04-16,675261,54703,36480
2020-04-17,708179,58545,38573
2020-04-18,735960,64840,40533
2020-04-19,761620,70337,42464
2020-04-20,790121,72329,44650
2020-04-21,816100,75204,47198
2020-04-22,845361,77366,49632
2020-04-23,878645,80203,52101
2020-04-24,912247,99079,54255
2020-04-25,944231,100372,55953
2020-04-26,971149,106988,57282
2020-04-27,994204,111424,58748
2020-04-28,1018950,115936,60989
2020-04-29,1046653,120720,63510
2020-04-30,1076323,153947,65832
2020-05-01,1110394,164015,67723
2020-05-02,1138570,175382,69415
2020-05-03,1163016,180152,70535
2020-05-04,1186303,187180,71868
2020-05-05,1210960,189791,74186
2020-05-06,1236037,189910,76550
2020-05-07,1263804,195036,78484
2020-05-08,1290687,198993,80231
2020-05-09,1315641,212534,81719
2020-05-10,1334685,216169,82612
2020-05-11,1354141,232733,83626
2020-05-12,1376823,230287,85253
2020-05-13,1397811,243430,87017
2020-05-14,1424941,246414,88800
2020-05-15,1450023,250747,90481
2020-05-16,1474187,268376,91697
2020-05-17,1492437,272265,92455
2020-05-18,1514460,283178,93627
2020-05-19,1535031,289392,95179
2020-05-20,1558734,294312,96705
2020-05-21,1583861,298418,97922
2020-05-22,1607949,350135,99166
2020-05-23,1629327,361239,100275
2020-05-24,1649389,366736,100897
2020-05-25,1667937,379157,101445
2020-05-26,1687244,384902,102107
2020-05-27,1705634,391508,103625
2020-05-28,1728330,399991,104803
2020-05-29,1752689,406446,105963
2020-05-30,1776531,416461,106926
2020-05-31,1795916,444758,107507
2020-06-01,1813448,458231,108283
2020-06-02,1834439,463868,109351
2020-06-03,1854437,479258,110358
2020-06-04,1875699,485002,111381
2020-06-05,1900769,491706,112295
2020-06-06,1923078,500849,112954
2020-06-07,1940659,506367,113392
2020-06-08,1958249,518522,113911
2020-06-09,1976464,524855,114861
2020-06-10,1997257,533504,115762
2020-06-11,2019935,540292,116633
2020-06-12,2045136,547386,117461
2020-06-13,2070461,556606,118220
2020-06-14,2090161,561816,118528
2020-06-15,2109973,576334,118922
2020-06-16,2133693,583503,119760
2020-06-17,2159245,592191,120504
2020-06-18,2187044,599115,121222
2020-06-19,2218476,606715,121892
2020-06-20,2251036,617460,122496
2020-06-21,2277433,622133,122781
2020-06-22,2308050,640198,123170
2020-06-23,2343205,647548,124017
2020-06-24,2378183,656161,124776
2020-06-25,2418044,663562,125327
2020-06-26,2463274,670809,125944
2020-06-27,2505748,679308,126448
2020-06-28,2545202,685164,126721
2020-06-29,2586113,705203,127098
2020-06-30,2631972,720631,127723
2020-07-01,2683112,729994,128417
2020-07-02,2737612,781970,129144
2020-07-03,2790743,790404,129804
2020-07-04,2836480,894325,130069
2020-07-05,2886342,906763,130357
2020-07-06,2931382,924148,130712
2020-07-07,2991455,936476,131934
2020-07-08,3050023,953462,132797
2020-07-09,3113250,969111,133800
2020-07-10,3181074,983185,134624
2020-07-11,3241100,995576,135314
2020-07-12,3300020,1006326,135773
2020-07-13,3359307,1031939,136140
2020-07-14,3426658,1049098,137066
2020-07-15,3494087,1075882,138034
2020-07-16,3571354,1090645,138977
2020-07-17,3642859,1107204,139907
2020-07-18,3706333,1122720,140775
2020-07-19,3767978,1131121,141222
2020-07-20,3829433,1160087,141736
2020-07-21,3894014,1182018,142843
2020-07-22,3964927,1210849,144059
2020-07-23,4033597,1233269,145153
2020-07-24,4107256,1261624,146285
2020-07-25,4173596,1279414,147184
2020-07-26,4228323,1297863,147656
2020-07-27,4284833,1325804,148776
2020-07-28,4350802,1355363,150150
2020-07-29,4421427,1389425,151582
2020-07-30,4489400,1414155,152791
2020-07-31,4556331,1438160,154034
2020-08-01,4614540,1461885,155149
2020-08-02,4661823,1468689,155552
2020-08-03,4707373,1513446,156082
2020-08-04,4764691,1528979,157460
2020-08-05,4817408,1577851,158836
2020-08-06,4877251,1598624,160089
2020-08-07,4935332,1623870,161331
2020-08-08,4991268,1643118,162408
2020-08-09,5037976,1656864,162919
2020-08-10,5087617,1670755,163446
2020-08-11,5134340,1714960,164510
2020-08-12,5190563,1753760,166015
2020-08-13,5242056,1774648,167085
2020-08-14,5306406,1796326,168423
2020-08-15,5354024,1818527,169457
2020-08-16,5395799,1833067,170028
2020-08-17,5431045,1865580,170474
2020-08-18,5476283,1898159,171799
2020-08-19,5522710,1925049,173152
2020-08-20,5566781,1947035,174231
2020-08-21,5615216,1965056,175336
2020-08-22,5659837,1985484,176318
2020-08-23,5694522,1997761,176768
2020-08-24,5732164,2020774,177210
2020-08-25,5770344,2053699,178449
2020-08-26,5814518,2084465,179674
2020-08-27,5860493,2101326,180785
2020-08-28,5906565,2118367,181756
2020-08-29,5953475,2140614,182714
2020-08-30,5988770,2153939,183024
2020-08-31,6023072,2184825,183597
2020-09-01,6066374,2202663,184664
2020-09-02,6106154,2231757,185720
2020-09-03,6150016,2266957,186790
2020-09-04,6200518,2283454,187755
2020-09-05,6244970,2302187,188538
2020-09-06,6276365,2315995,188941
2020-09-07,6300622,2333551,189208
2020-09-08,6327009,2359111,189653
2020-09-09,6360212,2387479,190859
2020-09-10,6396100,2403511,191766
2020-09-11,6443652,2417878,192979
2020-09-12,6485123,2434658,193693
2020-09-13,6520122,2451406,194071
2020-09-14,6553652,2474570,194493
2020-09-15,6592584,2495127,195781
2020-09-16,6630604,2525573,196764
2020-09-17,6675338,2540334,197634
2020-09-18,6723933,2556465,198570
2020-09-19,6768119,2577446,199282
2020-09-20,6804814,2590671,199509
2020-09-21,6856884,2615949,199865
2020-09-22,6895918,2646959,200786
2020-09-23,6933548,2670256,201884
2020-09-24,6977658,2710183,202798
2020-09-25,7032712,2727335,203750
2020-09-26,7078089,2750459,204490
